"Story","Title","Result","Date","Stability","Duration (s)"
"Get User","I can check user data","FAILURE","2022-03-13T14:29:15.697333+07:00[Asia/Jakarta]","0.0","10.32"
"User Register","as a new user, I do to register to the page","FAILURE","2022-03-13T14:25:37.0124818+07:00[Asia/Jakarta]","0.0","12.79"
